Fecha,Tipo de norma,Iniciativa legislativa,Categoría,Temática,Estatus,Fase,Etiqueta,Subido,Directiva,Reglamento,Contenido de la etiqueta / * (La directiva europea y/o el reglamento de la UE no es lo principal de la iniciativa),BOCG,BOE,Entrada vigor,Comentarios,
10/2025,Anteproyecto,Anteproyecto de Ley de Administración Abierta,Aviso,,En tramitación,Aprobado en primera vuelta por Consejo de Ministros,No,,,,sigue las recomendaciones contenidas en los informes de la Comisión Europea sobre el Mecanismo de Estado de Derecho,,,,https://www.lamoncloa.gob.es/consejodeministros/referencias/Paginas/2025/20251007-referencia-rueda-de-prensa-ministros.aspx#abierto,
10/2025,Proyecto de ley,"Proyecto de ley de modificación parcial de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, y de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, en materia de responsabilidad patrimonial del Estado legislador por daños derivados de la infracción del Derecho de la Unión Europea.",Trasposición,Derechos y regeneración democrática,En tramitación,Aprobado en segunda vuelta por Consejo de Ministros,sí,,,,,,,,,
9/2025,Real decreto-ley,"Real Decreto-ley 10/2025, de 23 de septiembre, por el que se adoptan medidas urgentes contra el genocidio en Gaza y de apoyo a la población palestina",Aviso,Otros,Concluida,Pendiente de convalidación,No,,,,,,,,,
9/2025,Proyecto de ley,"Proyecto de Ley por la que se amplía el permiso de nacimiento y cuidado, mediante la modificación del texto refundido de la Ley del Estatuto de los Trabajadores, aprobado por el Real Decreto Legislativo 2/2015, de 23 de octubre, el texto refundido de la Ley del Estatuto Básico del Empleado Público, aprobado por el Real Decreto Legislativo 5/2015, de 30 de octubre, y el texto refundido de la Ley General de la Seguridad Social, aprobado por el Real Decreto Legislativo 8/2015, de 30 de octubre, para completar la transposición de la Directiva (UE) 2019/1158 del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores, y por la que se deroga la Directiva 2010/18/UE del Consejo (procedente del Real Decreto-ley 9/2025, de 29 de julio).",Trasposición,Pol Social y Empleo,En tramitación,"Comisión de Trabajo, Eco. Social, Inclusión, S.Social y Migraciones (Enmiendas)",Sí,,(UE) 2019/1158,,"Completa la transposición de la Directiva (UE) 2019/1158 del Parlamento Europeo y del Consejo, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000069,,,,
8/2025,Proposición de ley,Proposición de Ley de reconversión del Organismo Autónomo Agencia de Información y Control Alimentarios en la Agencia Estatal de Inspección de la Cadena Alimentaria.,Aviso,"Agricult, Pesca, Alimentacion",En tramitación,Gobierno Contestación,No,,(UE) 2019/633,,"La Proposición establece que la nueva AICA sea punto de contacto para la cooperación transfronteriza y asistencia mutua entre autoridades en el ámbito aplicación de la Directiva (UE) 2019/633 relativa a las prácticas comerciales desleales en las relaciones entre empresas en la cadena de suministro agrícola y alimentario (incorporada a España por la Ley 16/2021, de 14 de diciembre). La AICA se modifica ahora para asegurar financiación suficiente para desarrollar proyectos mayores.",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000216,,,,
7/2025,Proposición de ley,Proposición de Ley sobre control y regulación de la publicidad y contratación de los pisos turísticos.,Trasposición,Vivienda,En tramitación,Pleno toma en consideración,Sí,SÍ,,2024/1028,"La proposición complementa la aplicación del Reglamento (UE) 2024/1028 sobre la recogida y el intercambio de datos relativos a los servicios de alquiler de alojamientos de corta duración y del Real Decreto 1312/2024, por el que se regula el procedimiento de Registro Único de Arrendamientos y se crea la Ventanilla Única Digital de Arrendamientos. La propuesta regula las condiciones en las que las empresas prestadoras de servicios podrán anunciar, publicitar y arrendar viviendas de uso turístico. ",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000214,,,,
7/2025,Real decreto-ley,"Real decreto-ley 9/2025, de 29 de julio, por el que se amplía el permiso de nacimiento y cuidado, mediante la modificación del texto refundido de la Ley del Estatuto de los Trabajadores, aprobado por el Real Decreto Legislativo 2/2015, de 23 de octubre, el texto refundido de la Ley del Estatuto Básico del Empleado Público, aprobado por el Real Decreto Legislativo 5/2015, de 30 de octubre, y el texto refundido de la Ley General de la Seguridad Social, aprobado por el Real Decreto Legislativo 8/2015, de 30 de octubre, para completar la transposición de la Directiva (UE) 2019/1158 del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores, y por la que se deroga la Directiva 2010/18/UE del Consejo.",Trasposición,Pol Social y Empleo,Concluida,Convalidado y tramitado como proyecto de ley,Sí,SÍ,(UE) 2019/1158,,"Completa la transposición de la Directiva (UE) 2019/1158 del Parlamento Europeo y del Consejo, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores",,https://www.boe.es/boe/dias/2025/07/30/pdfs/BOE-A-2025-15741.pdf,31/07/2025,https://www.lamoncloa.gob.es/consejodeministros/referencias/Paginas/2025/20250729-referencia-consejo-de-ministros.aspx#nacimiento,
7/2025,Proyecto de ley,Proyecto de Ley de información clasificada,Aviso,"Interior, Defensa y Seguridad",En tramitación,Comisión Constitucional (Enmiendas),No,,,,"Atiende a recomendaciones de la Comisión Europea. El proyecto responde al derecho que tienen los ciudadanos a conocer información sensible, siempre que no afecte a la seguridad y a la defensa.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000067,,,,
7/2025,Anteproyecto,Anteproyecto de Ley Orgánica reguladora del derecho al secreto de los profesionales de la información y de los prestadores de servicios de medios de comunicación,Trasposición,Derechos y regeneración democrática,En tramitación,Aprobado en primera vuelta por Consejo de Ministros,Sí,,,2024/1083,"Se alinea con el Reglamento (UE) 2024/1083 sobre libertad de los medios de comunicación (EMFA), que obliga a los Estados miembros a garantizar una protección efectiva del secreto profesional.",,,,https://www.lamoncloa.gob.es/consejodeministros/referencias/Paginas/2025/20250722-referencia-consejo-de-ministros.aspx#secretoprofesional,
7/2025,Proposición de ley,Proposición de Ley para la protección del consumidor frente a la comercialización fraudulenta de carne sintética y harinas de insectos.,Aviso,"Agricult, Pesca, Alimentacion",En tramitación,Gobierno Contestación,No,,,853/2004; 1308/2013; 2015/2283 y 178/2002,"Se apoya en el marco legal regulado por:
Se apoya en el marco legal regulado por:
- Reglamento (UE) 853/2004 relativo a las normas específicas de higiene de los alimentos de origen animal 
- Reglamento (UE) 1308/2013 sobre productos agrarios 
- Reglamento (UE) 2015/2283 relativo a los nuevos alimentos
- Reglamento (CE) 178/2002 relativo al principio de cautela",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000210,,,,
6/2025,Real decreto-ley,"Real Decreto-ley 7/2025, de 24 de junio, por el que se aprueban medidas urgentes para el refuerzo del sistema eléctrico.",Trasposición,Energia,Decaída,Derogado,Sí,SÍ,(UE) 2023/2413 y (UE) 2019/944,2023/1804 y 2024/1747,"Incorpora parcialmente las Directivas:

- La Directiva (UE) 2023/2413 relacionada con la promoción de energía procedente de fuentes renovables.
- La Directiva 2019/944 sobre normas comunes para el mercado interior de la electricidad.

Además sigue la línea del Reglamento (UE) 2023/1804 relativo a la implantación de una infraestructura de combustibles alternativos, y el Reglamento (UE) 2024/1747, que establece el marco para evaluar periódicamente las necesidades de flexibilidad del sistema eléctrico de los Estados miembros.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=130/000021,https://www.boe.es/boe/dias/2025/06/25/pdfs/BOE-A-2025-12857.pdf,25/06/2025,,
6/2025,Proposición de ley,Proposición de Ley sobre la prohibición de la acuicultura con pulpos en España,Aviso,"Agricult, Pesca, Alimentacion",En tramitación,Pleno toma en consideración,No,SÍ,,,Se basa en el principio de precaución y cautela recogido por el TFUE y por la Comunicación de la Comisión Europea de 2000,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000202,,,,
6/2025,Proposición de ley,Proposición de Ley de Conciliación y Corresponsabilidad Familiar.,Aviso,Pol Social y Empleo,En tramitación,Pleno toma en consideración,No,,(UE) 2019/1158,,Se apoya en la Directiva Europea 2019/1158 relativa a la conciliación de la vida familiar y profesional de los progenitores y cuidadores,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000203,,,,
6/2025,Proposición de ley,Proposición de Ley en apoyo del sistema alimentario español como sector estratégico esencial de la economía,Aviso,"Agricult, Pesca, Alimentacion",En tramitación,Pleno toma en consideración,No,,,2021/2115,"* Apuesta por la agricutlura del carbono, en línea con el Pacto Verde Europeo y la Comunicación de la Comisión sobre ciclos de carbono sostenibles (COM(2021) 800 final). También establece ayudas para explotaciones agrarias en situación de crisis (Reglamento (UE) 2021/2115). También se refiere a los nuevos instrumentos presentados en 2025 por la Comisión Europea: «Brújula de la Competitividad», «Clean Industrial Deal» y el «Plan de Acción para una Energía Asequible».",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000204,,,,
6/2025,Anteproyecto,Anteproyecto de Ley para garantizar productos libres de deforestación,Trasposición,"Sostenibilidad, CClimático, Econ Circular",En tramitación,Aprobado en primera vuelta por Consejo de Ministros,Si,,,,"Aplica el Reglamento EUDR, relativo a la comercialización de productos libres de deforestación, y el Reglamento FLEGT sobre aplicación de leyes, gobernanza y comercio forestales, que establece un sistema de licencias para la importación de madera en la UE.",,,,https://www.lamoncloa.gob.es/consejodeministros/referencias/Paginas/2025/20250617-referencia-rueda-de-prensa-ministros.aspx#bosques,
6/2025,Proposición de ley,Proposición de Ley sobre el cumplimiento de las obligaciones internacionales de no reconocimiento y no asistencia a situaciones de ocupación ilegal de territorios.,Aviso,Otros,En tramitación,Pleno toma en consideración,No,,,,Se refiere a varias sentencias del Tribunal de Justicia de la UE para justificar la ilegalidad de la ocupación de Israel sobre territorios palestinos,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000199,,,,
6/2025,Proyecto de ley,"Proyecto de Ley por la que se modifican la Ley 58/2003, de 17 de diciembre, General Tributaria, en materia de prescripción, recaudación, asistencia mutua y obligaciones de información; la Ley 35/2006, de 28 de noviembre, del Impuesto sobre la Renta de las Personas Físicas y de modificación parcial de las leyes de los Impuestos sobre Sociedades, sobre la Renta de no Residentes y sobre el Patrimonio, y la Ley 29/1987, de 18 de diciembre, del Impuesto sobre Sucesiones y Donaciones.",Trasposición,Fiscalidad,En tramitación,Comisión de Hacienda y Función Pública (Enmiendas),Sí,SÍ,(UE) 2023/2226,,"Traspone la Directiva europea 2023/2226 (DAC8, por la 8ª modificación de la directiva original), que modifica la Directiva 2011/16/UE, relativa a la cooperación administrativa en el ámbito de la fiscalidad",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000060,,,https://www.hacienda.gob.es/GabineteMinistro/Notas%20Prensa/2024/CONSEJO-MINISTROS/17-09-24-NP-DAC8-Directiva-UE.pdf,
5/2025,Proyecto de ley,"Proyecto de Ley por la que se modifica la Ley 28/1990, de 26 de diciembre, por la que se aprueba el Convenio Económico entre el Estado y la Comunidad Foral de Navarra",Trasposición,Fiscalidad,Concluida,Aprobado con modificaciones,Sí,SÍ,(UE) 2022/2523,,"Incluye en el Convenio Económico de Navarra nuevas figuras tributarias, como el impuesto Complementario derivado de la transposición de la Directiva (UE) 2022/2523, que establece un impuesto mínimo global del 15% para los grupos de empresas multinacionales y nacionales de gran magnitud en la UE.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000061,https://www.boe.es/boe/dias/2025/07/25/pdfs/BOE-A-2025-15423.pdf,26/07/2025,,
5/2025,Proposición de ley,Proposición de Ley para impulsar el alquiler de viviendas a precios asequibles.,Aviso,Vivienda,En tramitación,Pleno toma en consideración,No,,(UE) 2025/516,,"Sigue la línea trazada por Directiva (UE) 2025/516, aún sin transponer en España, en lo que respecta a las normas del IVA en la era digital. La directiva permitirá a los Estados miembros gravar los arrendamientos de viviendas de corta duración en determinadas zonas",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000196,,,,
5/2025,Anteproyecto,Anteproyecto de Ley de Protección y Resiliencia de Entidades Críticas,Trasposición,"Interior, Defensa y Seguridad",En tramitación,Aprobado en primera vuelta por Consejo de Ministros,Sí,,(UE) 2022/2557,,Transpone la Directiva 2022/2557 relativa a la resiliencia de entidades críticas,,,,,
5/2025,Proyecto de ley,"Proyecto de Ley por la que se crea la Agencia Estatal de Salud Pública y se modifica la Ley 33/2011, de 4 de octubre, General de Salud Pública. (121/000054)",Aviso,Sanidad y Consumo,Concluida,Aprobado con modificaciones,No,,,528/2012,"Establece una serie de tasas a los servicios y actividades realizados en materia de plaguicidas de uso ambiental y en la industria alimentaria, así como para todos los biocidas en general, en aplicación del Reglamento (UE) n.º 528/2012",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000054,https://www.boe.es/boe/dias/2025/07/29/pdfs/BOE-A-2025-15652.pdf,30/07/2025,,
5/2025,Proposición de ley,Proposición de Ley para el reconocimiento de los derechos de las personas intersexuales y de las personas no binarias.,Aviso,Derechos y regeneración democrática,En tramitación,Pleno toma en consideración,No,,,,Sigue la línea trazada por la Comisión Europea en su «Estrategia de Igualdad LGBTIQ 2020-2025» y por la Resolución 2019 del Parlamento Europeo sobre los derechos de las personas intersexuales,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000180,,,,
4/2025,Proposición de ley,Proposición de Ley para garantizar la aportación de la energía nuclear en la descarbonización del sistema energético.,Aviso,Energia,En tramitación,Comisión de Transición Ecológica y Reto Demográfico Enmiendas,No,,,2024/1735,"La proposición alude al Reglamento (UE) 2024/1735 que establece un marco de medidas para reforzar el ecosistema europeo de fabricación de tecnologías de cero emisiones netas. También a las sugerencias recogidas en el Informe Draghi (""El futuro de la competitividad europea"") presentado por la Comisión Europea",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000179,,,,
4/2025,Proyecto de ley,Proyecto de Ley Orgánica para la protección de las personas menores de edad en los entornos digitales.,Aviso,"Interior, Defensa y Seguridad",En tramitación,Comisión de Justicia (Enmiendas),No,,,2022/2065,Algunos preceptos se desarrollan en el marco del Reglamento (UE) 2022/2065 relativo a un mercado único de servicios digitales. También alude a las recomendaciones recogidas en la Estrategia para los Derechos de la Infancia 2021-2024 para proteger a los menores de edad en los entornos digitales ,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000052,,,,
4/2025,Real decreto-ley,"Real Decreto-ley 3/2025, de 1 de abril, por el que se establece el programa de incentivos ligados a la movilidad eléctrica (MOVES III) para el año 2025.",Aviso,"Transporte, Movilidad",Concluida,Convalidado y tramitado como proyecto de ley,Si,SÍ,,2023/1315,"El programa MOVES III se ajusta al Reglamento (UE) 2023/1315 de la Comisión, de 23 de junio de 2023, en lo que se refiere a determinadas categorías de ayudas compatibles con el mercado interior",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=130/000017,https://www.boe.es/boe/dias/2025/04/01/pdfs/BOE-A-2025-6596.pdf,2/04/2025,,
4/2025,Proyecto de ley,"Proyecto de Ley Orgánica por la que se modifica la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General",Aviso,Derechos y regeneración democrática,En tramitación,Comisión Constitucional (Enmiendas),No,,,,"El proyecto plantea la modificación de leyes anteriores, como parte del Plan de Acción por la Democracia, que a su vez responde a las recomendaciones adoptadas por la Comisión Europea en 2020 y 2023 para dotar de mayor transparencia a los sistemas democráticos europeos.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000063,,,https://www.interior.gob.es/opencms/pdf/servicios-al-ciudadano/participacion-ciudadana/Participacion-publica-en-proyectos-normativos/Audiencia-e-informacion-publica/09_2025_Anteproyecto_LO_modificacion_LOREG.pdf,
3/2025,Proposición de ley,"Proposición de Ley por la que se modifica la Ley 1/2005, de 9 de marzo, por la que se regula el régimen del comercio de derechos de emisión de gases de efecto invernadero.",Trasposición,"Sostenibilidad, CClimático, Econ Circular",En tramitación,Comisión de Transición Ecológica y Reto Demográfico Enmiendas,Sí,SÍ,(UE) 2018/410 y 2003/87/CE,,"Transpone al ordenamiento jurídico español las modificaciones recientes de la Directiva 2003/87/CE, en particular las introducidas por la Directiva (UE) 2018/410, que busca reforzar el RCDE UE para contribuir a los objetivos de reducción de emisiones establecidos en el Acuerdo de París.",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000170,,,,
